,t_stat,p_val
"[1,2]",-5.6731814743047755,1.5290290890659908e-08
"[1,3]",2.824156139624087,0.004770426515800461
"[1,4]",0.6288392999199406,0.529500009589879
"[1,5]",1.5187532934763541,0.12892528118863267
"[1,6]",-0.9518089639929418,0.3412671328629081
"[1,7]",-6.757551988836819,1.6661223926922735e-11
"[1,8]",-6.981638463552842,3.545271473395792e-12
"[1,9]",-5.61159595380422,2.178948901992406e-08
"[1,10]",-8.393242706771632,7.057378908629201e-17
"[1,11]",2.4215326940727224,0.015511519041783352
"[1,12]",-1.1001237198313922,0.27136255259696773
"[1,13]",1.9993126769240295,0.04566056057222296
"[1,14]",-1.1200430280801223,0.26278108847829373
"[1,15]",-2.1683631769168112,0.03020592398930103
"[1,16]",-3.5774190890014057,0.0003522446099970952
"[1,17]",4.719810243908189,2.463878278122413e-06
"[1,18]",1.7193759321798596,0.08564449273544052
"[1,19]",2.8989460630274184,0.0037701572808659313
"[1,20]",-0.5957983319743542,0.5513528995356041
"[1,21]",4.381540463251595,1.2170149278287489e-05
"[1,22]",2.6750999724700093,0.007509452225322992
"[1,23]",4.266768190745691,2.041856233693386e-05
"[1,24]",2.5637086514040996,0.010402199859623292
"[1,25]",0.9572246489123282,0.33852757064710626
"[1,26]",-0.9202999883551177,0.3574867103131997
"[1,27]",5.009230267366971,5.766781570110006e-07
"[1,28]",3.0487921597780905,0.002316788654832225
"[1,29]",0.7431792934256358,0.45742873645376747
"[1,30]",-2.5593972299870464,0.010531839534111204
"[1,31]",0.890746179347185,0.37313359876454766
"[1,32]",-2.2931111148054346,0.021907403837491773
"[1,33]",0.07810016200948534,0.9377533545663364
"[1,34]",-2.5424983701786963,0.01105394004603195
"[1,35]",4.1526302176549725,3.374256677150469e-05
"[1,36]",-2.1180725363104167,0.034247286455534647
"[1,37]",-2.7139813126041483,0.006684312411891104
"[1,38]",-2.2480914621295924,0.024639466394381426
"[1,39]",-2.6764206370654637,0.007479989981484699
"[1,40]",-4.346963715202057,1.4241808639715086e-05
"[1,41]",1.8356685296633937,0.0665012094508042
"[1,42]",0.37788770002202654,0.7055395621220832
"[1,43]",3.2104898260387436,0.0013384541524906373
"[1,44]",4.198754311376416,2.7584230722676894e-05
"[1,45]",3.592441698559779,0.00033262046805761014
"[1,46]",3.422569930090623,0.0006282581888701465
"[1,47]",1.1308118407549603,0.258220657398944
